UTC time,state,latitude,N/S Indication,longitude,E/W indication,Ground speed,position,date,f2,f3
170422.200,A,54.6590777,N,020.6531457,E,0.000,26.58,190425,1.133,1.137,
170422.300,A,54.6590777,N,020.6531460,E,0.000,26.58,190425,1.133,1.137,
170422.700,A,54.6590773,N,020.6531468,E,0.000,26.58,190425,1.136,1.139,
170422.800,A,54.6590772,N,020.6531470,E,0.000,26.58,190425,1.134,1.137,
170422.900,A,54.6590772,N,020.6531472,E,0.000,26.58,190425,1.132,1.135,
170423.300,A,54.6590760,N,020.6531465,E,0.000,26.58,190425,1.134,1.137,
170423.400,A,54.6590755,N,020.6531463,E,0.000,26.58,190425,1.136,1.140,
170423.500,A,54.6590753,N,020.6531463,E,0.000,26.58,190425,1.134,1.138,
170423.600,A,54.6590750,N,020.6531463,E,0.000,26.58,190425,1.134,1.137,
170423.700,A,54.6590748,N,020.6531463,E,0.000,26.58,190425,1.133,1.137,
170423.800,A,54.6590743,N,020.6531463,E,0.000,26.58,190425,1.136,1.139,
170423.900,A,54.6590740,N,020.6531462,E,0.000,26.58,190425,1.136,1.139,
170424.000,A,54.6590737,N,020.6531460,E,0.000,26.58,190425,1.136,1.140,
170424.100,A,54.6590733,N,020.6531458,E,0.000,26.58,190425,1.134,1.138,
170424.200,A,54.6590728,N,020.6531457,E,0.000,26.58,190425,1.135,1.138,
170424.300,A,54.6590723,N,020.6531455,E,0.000,26.58,190425,1.135,1.139,
170424.400,A,54.6590718,N,020.6531448,E,0.000,26.58,190425,1.135,1.139,
170424.500,A,54.6590712,N,020.6531443,E,0.000,26.58,190425,1.132,1.137,
170424.600,A,54.6590708,N,020.6531442,E,0.000,26.58,190425,1.133,1.137,
170424.700,A,54.6590705,N,020.6531442,E,0.000,26.58,190425,1.133,1.136,
170424.800,A,54.6590700,N,020.6531440,E,0.000,26.58,190425,1.132,1.137,
170424.900,A,54.6590697,N,020.6531440,E,0.000,26.58,190425,1.133,1.137,
170425.000,A,54.6590693,N,020.6531438,E,0.000,26.58,190425,1.132,1.137,
170425.100,A,54.6590692,N,020.6531440,E,0.000,26.58,190425,1.134,1.137,
170425.200,A,54.6590687,N,020.6531437,E,0.000,26.58,190425,1.132,1.136,
170425.300,A,54.6590680,N,020.6531432,E,0.000,26.58,190425,1.131,1.136,
170425.400,A,54.6590675,N,020.6531428,E,0.000,26.58,190425,1.133,1.136,
170425.500,A,54.6590668,N,020.6531422,E,0.000,26.58,190425,1.134,1.138,
170425.600,A,54.6590665,N,020.6531418,E,0.000,26.58,190425,1.133,1.138,
170425.700,A,54.6590660,N,020.6531413,E,0.000,26.58,190425,1.134,1.137,
170425.800,A,54.6590655,N,020.6531410,E,0.000,26.58,190425,1.133,1.136,
170425.900,A,54.6590652,N,020.6531408,E,0.000,26.58,190425,1.132,1.136,
170426.000,A,54.6590647,N,020.6531407,E,0.000,26.58,190425,1.133,1.137,
170426.100,A,54.6590645,N,020.6531408,E,0.000,26.58,190425,1.133,1.136,
170426.200,A,54.6590642,N,020.6531407,E,0.000,26.58,190425,1.135,1.139,
170426.300,A,54.6590638,N,020.6531405,E,0.000,26.58,190425,1.134,1.138,
170426.400,A,54.6590638,N,020.6531407,E,0.000,26.58,190425,1.134,1.137,
170426.500,A,54.6590637,N,020.6531410,E,0.000,26.58,190425,1.135,1.137,
170426.600,A,54.6590637,N,020.6531413,E,0.000,26.58,190425,1.136,1.140,
170426.700,A,54.6590635,N,020.6531415,E,0.000,26.58,190425,1.136,1.139,
170426.800,A,54.6590633,N,020.6531417,E,0.000,26.58,190425,1.136,1.140,
170426.900,A,54.6590632,N,020.6531418,E,0.000,26.58,190425,1.134,1.138,
170427.000,A,54.6590628,N,020.6531417,E,0.000,26.58,190425,1.134,1.138,
170427.100,A,54.6590623,N,020.6531413,E,0.000,26.58,190425,1.133,1.137,
170427.200,A,54.6590618,N,020.6531412,E,0.000,26.58,190425,1.133,1.137,
170427.300,A,54.6590615,N,020.6531412,E,0.000,26.58,190425,1.135,1.138,
170427.400,A,54.6590612,N,020.6531412,E,0.000,26.58,190425,1.135,1.139,
170427.500,A,54.6590608,N,020.6531410,E,0.000,26.58,190425,1.135,1.138,
170427.600,A,54.6590603,N,020.6531410,E,0.000,26.58,190425,1.133,1.137,
170427.700,A,54.6590600,N,020.6531410,E,0.000,26.58,190425,1.136,1.139,
170427.800,A,54.6590597,N,020.6531408,E,0.000,26.58,190425,1.136,1.140,
170427.900,A,54.6590592,N,020.6531408,E,0.000,26.58,190425,1.136,1.139,
170428.000,A,54.6590588,N,020.6531408,E,0.000,26.58,190425,1.137,1.142,
170428.100,A,54.6590585,N,020.6531407,E,0.000,26.58,190425,1.135,1.139,
170428.200,A,54.6590582,N,020.6531405,E,0.000,26.58,190425,1.133,1.137,
